"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11"
2、参与项目的实施，负责数据结果提交、测试反馈与优化；
3、运营及决策提供业务分析及数据支持；
4、建立采集、转换、整合数据，与展现开发报表分析的数据设计流程，并应用于实际操作中；
5、能对ACG商业业务进行相关业务分析，包括：重要产品相关、用户行为相关，业务逻辑相关分析。
岗位要求：
1、计算机相关专业，有一定编程基础；或数学专业，对于统计分析相关的理论有一定基础，硕士以上学历优先考虑；
2、熟悉linux下开发环境和能编写简单的shell脚本；熟悉Oracle、Mysql等数据库，精通SQL；
3、具有海量数据挖掘、数据分析、机器学习等相关项目实施二年以上的工作经验；有分布式计算或高性能并行计算的项目经验优先；
4、熟悉文本分类、聚类、机器翻译；
5、熟练使用SPSS Clementine/SAS EM等数据挖掘工具；
6、了解机器学习的基本算法，如回归方法、决策树、SVM等；能从不同的角度思考、分析问题，敢于大胆地提出创新的解决方案 。
 

        
    "
"1962016" "北京" "移动互联网,旅游" "艺龙旅行网" "2000人以上" "上市公司" "本科" "5-10年" "数据挖掘" "25k-35k" "
        职位描述：
        
        岗位职责：
1. 负责艺龙整体用户搜索行为数据的挖掘分析。
2. 配合算法专家不断的优化、完善排序算法模型，提升转化、收益。
3. 逐步建立稳定的排序学历离线评估、线上验证方案。
 
职位要求：
1. 熟悉常用的数据挖掘算法，对排序场景下的机器学习算法有一定认识理解；
2. 有扎实的算法、数学、统计学基础；
3. 有用户行为分析相关经验
5. 熟练使用R,Matlab至少一种；
6. 能使用SQL,  Hive, ETL,  MR 等进行数据获取和预处理
7. 有分析问题和解决问题的能力，有强烈的责任心，自我驱动能力；
8. 有Java背景，有将模型工程化能力者优先。
        
    "
"2804185" "北京" "移动互联网,游戏" "北纬通信" "500-2000人" "上市公司" "本科" "应届毕业生" "数据挖掘/数据分析（2017应届生）" "6k-9k" "
        职位描述：
        
        职位描述：
岗位职责： 1、根据业务发展的需求，统筹从数据采集到分析汇报的全流程，监控分析项目KPI，为部门战略指标规划提供有效的数据依据及支撑； 2、根据运营需求, 收集产品运行数据, 并以此作为分析基础提出参数调整/修改方案, 并在修改方案上线后持续跟踪、逐步完善； 3、深度挖掘用户行为，为产品、运营及市场推广的优化提供数据支持； 4、分析推广活动的效果，研究客户使用行为，并及时提供新的解决方案建议； 5、建立并完善产品指标，运营指标、风控指标等效果及质量的模型定义、确保数据准确性与统一性。 任职资格： 1、计算机、统计、数学、信息技术本科及以上学历， 2、熟练运用SQL；熟练操作excel,SAS/SPSS，PPT ； 3、严密的逻辑思维能力, 对数字敏感, 熟练运用各种数学公式, 具有较强的数学演算能力, 能够搭建数学模型进行数值演算； 4、熟练独立编写商业数据分析报告，及时发现和分析其中隐含的变化和问题； 5、具备良好的沟通能力和团队精神，推动能力强；

        
    "
"2416847" "北京" "移动互联网,O2O" "美团点评" "2000人以上" "成熟型(D轮及以上)" "不限" "不限" "数据挖掘" "15k-30k" "
        职位描述：
        
        我们正在寻找优秀人材和我们一起来拥抱餐饮行业的变革，希望您既有数据挖掘理论基础，又有相关的行业经验；既能够深入理解业务需求，又能够从技术的角度优雅地解决问题。
 
美团点评是中国O2O领域最大的服务平台，在多个细分行业拥有绝对的领先优势，为用户提供全面、多样、便捷、实惠的生活服务。拥有用户近6亿，年度活跃买家2亿，合作商家达300万户，是中国仅次于阿里巴巴的第二大电子商务平台，并正在以每年超过100%的速度高速成长中。

餐饮是美团点评最基础也是最核心的业务，无论人员规模还是交易占比，都占据了新美大的半壁江山。而目前餐饮行业IT水平落后已经成为行业创新、服务升级的瓶颈。作为公司的重点战略，餐饮生态平台部门致力于推进餐饮行业信息系统的改造升级和互联网化，为消费者和商家提供更多样性的服务，降低行业成本，提高行业效率。
 
在实现餐饮行业信息系统互联网化的同时，随着餐饮消费形态的升级，ERP除了传统功能外，也承担起了连接用户与服务的角色，通过对消费者的识别、链接以及大数据的挖掘，形成精准的线上线下的营销系统，帮助商家实现消费即会员，会员即数据，数据即营销。
 
在这里，您可以：
有机会在中国这个全球最大的餐饮产业中，用自己的代码做一点改变行业，改变世界的事
 有机会和来自BAT，Google，Amazon，Yahoo...等公司的技术大牛们一起工作，共同成长，甚至超越他们
 良好的技术氛围，有定期的技术分享和培训，美团图书馆有大量的书籍可以借阅
 工程师文化，技术能充分参与到产品设计里，每年都有hackthon，享受头脑风暴的同时还有机会获取优厚奖品
 弹性的工作时间和良好的工作环境，入职配置人体工学椅，高配rbmp和27寸高清显示器
工作职责：
对接餐饮生态业务需求，为餐饮商家提供会员营销、经营成本优化、新店选址等服务
 基于海量数据，运用数据挖掘/机器学习的理论和方法，以实际业务应用为导向，产生应用价值
 深刻理解数据本质，不断完善和优化算法，进行核心策略的研究及开发
职位要求：
熟悉常用机器学习和数据挖掘算法，对算法的优缺点及适用场景有自己的见解
 熟悉Linux工作环境，熟悉Java开发，熟悉 Python/Shell等脚本语言
 熟悉Hadoop/Spark/Storm/Hive等分布式计算技术，具有海量数据处理经验
 较强的业务理解和分析能力，具备利用算法解决复杂商业问题的能力
 踏实、好学，较强的沟通能力，良好的团队协作精神

    "
"2131734" "南京" "生活服务" "孩子王" "2000人以上" "成长型(B轮)" "本科" "3-5年" "数据挖掘工程师" "13k-25k" "
        职位描述：
        
        岗位职责： 

1、对公司数据进行分析，从数据中挖掘潜在的问题和商业价值，规划、设计基于挖掘模型的解决方案；
2、挖掘用户在网站上的搜索、浏览、收藏、交易等行为特征，支持业务部门的数据化运营； 
3、分析网站上各类违规和违法行为（包括欺诈、被盗、炒作、违禁品等），构建精准的监控模型；
4、根据业务需求和目标，将挖掘模型转化为实际应用。

岗位要求：
1、软件工程、数据挖掘、数学、统计方向硕士及以上学历；
2、最少2年数据挖掘实施经验，有较强的动手能力，熟悉各种数据挖掘分析算法，如：Apriori分析等；
3、至少精通一门编程语言（JAVA/python/R）；
4、熟悉hadoop/hive/Spark等数据平台的开发和使用经验；
5、具备良好的团队合作和沟通能力；
6、喜欢研究数据挖掘或统计学习领域的前沿技术。

        
    "
"1464520" "深圳" "移动互联网,数据服务" "深圳市麦谷科技有限公司" "50-150人" "成长型(A轮)" "本科" "3-5年" "数据挖掘" "12k-20k" "
        职位描述：
        
        岗位职责：
1、参与建设大数据分析系统；2、对海量业务数据、用户数据进行分析挖掘，为公司在车联网行业精准营销、运营及决策提供业务分析及数据支持；3、根据研究成果及业务需求，形成解决方案，实施应用项目；4、开发出独立知识产权算法及知识库，固化成数据产品；
任职要求：
1、本科及以上学历，计算机、应用数学、统计学、交通等相关专业；2、具有3年以上数据挖掘/数学建模相关工作经验, 具有深厚的统计学、数学、人工智能和数据挖掘知识基础，具备数理统计理论基础；3、熟悉数据挖掘方法论并常用的统计工具软件，如R、SAS、EG/EM、SPSS等数据挖掘工具； 4、熟悉C/C++、Python等语音编程、MSSQL/MySQL等关系型数据库开发经验；5、熟悉文本挖掘分析方法及分布式数据分析工具使用；6、具有高度的责任感、良好的敬业精神和团队合作精神；能够主动获取新知识，具有较强领悟力，有系统性思考解决问题能力；7、精通数据挖掘方法论，熟练掌握回归、决策树、聚类、分类等算法及应用者优先； 8、有车辆网海量数据处理经验者优先；9、在华为、中兴、BAT等从事过相关经验者优先考虑；10、有相关从业经验研究生学历者优先考虑；

        
    "
"542129" "上海" "数据服务" "星环科技" "150-500人" "成长型(B轮)" "硕士" "1-3年" "数据挖掘算法工程师" "15k以上" "
        职位描述：
        
        工作职责：  
1、分布式机器学习算法的开发和优化；
2、在线和离线海量数据分析平台的设计和开发；
3、大规模数据挖掘系统的设计和实现。 
职位要求：  
-硕士及以上学历，数学/计算机/通信 相关专业，2年及以上工作经验
-熟悉常用的机器学习算法，了解不同模型的特性，具有灵活运用模型进行数据分析的能力
-熟悉下列任意一种数据分析软件R/MATLAB/Python
-熟悉linux平台、熟悉脚本（shell、python等）编程-
熟悉Hadoopspark，具有分布式数据挖掘项目经验
-具有良好的沟通能力，和良好的团队合作精神-
优秀的分析问题和解决问题的能力，对解决具有挑战性问题充满激情  
有以下任一领域有深入研究者优先：-
机器学习/信息检索/自然语言处理/统计学习/博弈论/人工智能  
-具有海量数据挖掘、分布式计算或高性能并行计算应用经验者优先
具有行业经验者优先
        
    "
"2804011" "北京" "移动互联网" "新浪微博" "2000人以上" "上市公司" "硕士" "1-3年" "数据挖掘工程师" "15k-30k" "
        职位描述：
        
        岗位描述： --负责PUSH平台推送流的推荐，提升推送流的用户召回效率 --负责构建用户画像，分析用户的阅读兴趣和偏好，为用户提供更好的阅读体验 --应用数据分析、数据挖掘、推荐相关技术，提升推荐流的互动指标。 任职要求： --计算机相关专业； --1年及以上的搜索、推荐、挖掘数据挖掘、机器学习相关行业的工作经历经验； --熟悉常用的分类、聚类、回归、推荐算法； --熟悉Linux平台编程环境，精通Java/C/C++/Python/Scala语言中的一种，具备Hadoop/Spark/Hive/Hbase等实际工作经验；

        
    "
"2314901" "成都" "数据服务" "思特奇Si-tech" "2000人以上" "上市公司" "本科" "3-5年" "数据挖掘高级工程师" "10k-20k" "
        职位描述：
        
        岗位职责：1、海量用户行为数据的分析挖掘，负责大数据业务、挖掘算法的设计、研发和优化工作；2、负责项目需求分析，算法模型的构建以及数据分析模型开发、编写业务分析报告等工作；3、依据项目需求或者产品研发方向，参与大数据挖掘平台相关技术的研究与开发。
任职要求：1、本科及以上学历，具有以下专业背景：计算机、数学、统计学、计量经济学等；2、2年以上数据挖掘及其相关经验，参与过用户画像，个性化推荐，社交网络分析项目，有过自然语言处理和建模经验的优先考虑；3、熟练使用SQL，熟悉Linux，使用过Spark等分布式机器学习框架，熟悉Hadoop/HBase/Hive等大数据处理平台的优先考虑；4、熟练掌握Python/R/SAS等分析工具；5、熟练掌握常见的机器学习算法，包括但不限于：广义线性模型，决策树，SVM，关联规则，神经网络等；6、有推荐系统相关经验，熟悉常用推荐算法优先考虑；7、熟悉电信或者互联网业务、有BI项目实施经验者优先；8、工作积极主动，具备良好的沟通能力和团队精神。
        
    "
"2786710" "北京" "移动互联网,文化娱乐" "音悦台" "150-500人" "成长型(B轮)" "本科" "3-5年" "数据挖掘工程师" "14k-17k" "
        职位描述：
        
        职位描述：1、负责大数据采集、存储、计算、分析的架构设计开发；3、负责数据建模以及报表开发；4、负责数据可视化相关后台服务，架构设计及开发。职位要求:1、计算机相关专业，3年以上大数据相关开发经验，统计学应用数学方向优先； 2、Java基础扎实、，熟悉Hadoop、Spark相关技术，至少有1年以上开发经验，熟悉并使用过各种大数据相关框架或组件优先，如Kafka、Storm/JStorm、Hadoop/Spark、Hive、HBase等，实战经验/海量数据处理经验者优先；5、具有良好的沟通、团队协作、计划和主动性思考能力，在互联网或大数据业界有一定影响力公司的工作经验者优先；6、有推荐系统、数据挖掘、机器学习等领域的理论基础和研发经验优先。
        
    "
"2778329" "武汉" "电子商务" "卷皮" "500-2000人" "成熟型(C轮)" "不限" "3-5年" "高级数据挖掘" "10k-20k" "
        职位描述：
        
        岗位职责：
1. 对接公司管理层及业务部门的数据分析需求，建立数据分析系统，独立完成问题分析，模型研发，模型校验，模型总结并编写商业数据分析报告等相关工作；(算法)
2. 从海量数据中发现问题，在数据发生异动时及时感知数据背后的业务原理，从数据中找出原因，解决问题，提炼出有价值的信息，指导业务决策；（基础分析）
3. 通过数据报告、产品和建模成果推动业务部门的数据化运营；
4. 其他日常数据维护或者透视化工作。
任职要求：
1. 数学，统计学，经济学等相关专业优先；有独立完成建模工作经验的优先；
2. 良好的商业嗅觉，有丰富的数据分析、挖掘和建模的经验，熟悉聚类，判别分析，回归分析，协同过滤，用户画像等模型，擅长机器学习优先考虑；
3. 熟悉数据库技术，熟练运用SQL及其他語言，能高效的与技术团队进行沟通；
4. 能熟练使用一种或多种编程语言实现模型构建的全流程，包括但不限于：R、Python、MATLAB、SAS，并能熟练使用SQL具备从数据库提取数据的能力；
5. 具备良好的文档功底和业务分析能力，语言表达能力强；
6. 有互联网电商行业数据分析相关经验者优先。

        
    "
"2604274" "上海" "移动互联网,硬件" "百芝龙智慧科技" "150-500人" "初创型(天使轮)" "本科" "1-3年" "数据挖掘工程师" "12k-24k" "
        职位描述：
        
        岗位职责：1、从海量数据中，利用数据挖掘技术，挖出用户的偏好特征、行为规律；2、构建健壮的挖掘系统，提供高可用个、可扩展的离线挖掘系统；3、建立实时特征产生系统。任职资格：1、熟练使用出C/C++/C# 或者java，会使用至少一门脚本语言；2、熟悉常见的数据挖掘或机器学习算法；3、了解hadoop原理，有map-reduce开发经验；4、有数据挖掘2年以上的项目经验，有用户生活习惯挖掘、智能家居工作经验者优先。
        
    "
"2702662" "北京" "数据服务,文化娱乐" "网易" "2000人以上" "上市公司" "本科" "3-5年" "数据挖掘工程师" "18k-30k" "
        职位描述：
        
        职位要求
1. 负责海量内容和用户数据的分析和挖掘、建模，快速迭代算法，提升算法效果2. 参与搭建和实现大规模机器学习模型，自然语言处理模型等3 参与建立公司级的用户画像体系，为数据分析、数据产品，广告系统提供支持职位要求：1. 两年以上相关领域工作经验，2. 扎实的操作系统，数据结构及算法基础3. 熟悉C++、java等主流开发语言，熟悉shell or python等脚本语言4. 掌握常用机器学习、自然语言、最优化算法。具备扎实的概率统计基础，有较深理论功底和相关实践经验者优先。5. 具备良好的分析和解决问题的能力，具备一定的钻研精神和持续学习的意愿，强烈的责任感和团队感，对负有挑战性的工作充满热情
6. 有互联网经验优先
        
    "
"2512884" "北京" "移动互联网" "ETCP" "500-2000人" "成长型(B轮)" "本科" "5-10年" "高级数据挖掘工程师" "40k-45k" "
        职位描述：
        
        岗位职责:
1、负责数据挖掘和机器学习相关平台的搭建；
2、全面理解业务和数据，识别可通过数据分析解答和帮助解决的业务问题或流程、系统缺陷，并将其转为分析项目，推动分析项目的执行；
3、设计和实施数据分析项目，通过统计、数据挖掘建模等数据分析手段分析数据，并将分析过程整理成技术类分析报告，将分析成果和应用建议整理成业务类汇报材料，完成相应沟通和汇报工作；
4、参与大数据平台的建设，将模型研究成果固化为平台上的应用引擎，助力大数据平台的企业应用。

任职资格：
1、全日制统招本科及以上学历，计算机、统计、数学等相关专业；
2、5年以上互联网行业数据分析、数据挖掘的工作经验；
3、能熟练运用SPSS、SAS、R等等任意一种数据分析挖掘工具；对主流的数据挖掘算法有深入了解；熟悉Python语言；
4、了解数据库相关知识，熟练掌握SQL语法，熟练使用Excel、PowerPoint等Office办公软件，熟悉一定的数据建模和数据可视化知识；
5、有Hadoop、 MapReduce、Storm 、Spark开发优先。

        
    "
"905377" "北京" "移动互联网,电子商务" "亿玛在线-互联网营销领航者" "500-2000人" "上市公司" "本科" "1-3年" "数据挖掘" "15k-25k" "
        职位描述：
        
        工作职责：
1、本科及以上学历，3年以上互联网行业数据统计与分析经验； 2、3年以上互联网行业工作经验，负责设计过数据分析、数据挖掘、数据可视化、在线数据相关产品经验，至少一年以上移动端领域数据分析工作经验； 3、精通使用Excel/SPSS/SAS分析数据，有多年撰写商业数据分析报告经验； 4、熟悉 Storm/Spark或其他类似实时计算系统，熟悉编写Map Reduce和Hive SQL统计和分析数据； 5、有Adx/DSP/SSP/DMP等程序化购买业务工作经验者优先考虑；
工作要求：
1、本科及以上学历，3年以上互联网行业数据统计与分析经验； 2、3年以上互联网行业工作经验，负责设计过数据分析、数据挖掘、数据可视化、在线数据相关产品经验，至少一年以上移动端领域数据分析工作经验； 3、精通使用Excel/SPSS/SAS分析数据，有多年撰写商业数据分析报告经验； 4、熟悉 Storm/Spark或其他类似实时计算系统，熟悉编写Map Reduce和Hive SQL统计和分析数据； 5、有Adx/DSP/SSP/DMP等程序化购买业务工作经验者优先考虑； 6、对业务系统的日志数据的实时分析、监控有实际工作经验，对数据敏感，有较强的学习能力以及快速解决问题的能力；
        
    "
"2696050" "北京" "移动互联网,数据服务" "方正电子" "500-2000人" "上市公司" "硕士" "不限" "数据挖掘工程师(J10097)" "12k-24k" "
        职位描述：
        
        工作职责：
1、利用自然语言处理和机器学习方法，深入研究和解决互联网文本挖掘中的问题；
2、基于用户行为及社交网络数据，设计可扩展的机器学习算法，挖掘用户行为特征及社交群体；
3、研究自然语言处理领域的前沿技术，涉及技术包括：自动分类、主题检测、情感分析等。
4、跟踪相关领域的技术发展趋势。
任职资格：
1、计算机或相关专业硕士及以上学历；
2、精通至少一门开发语言（Java C++Scala），对数据结构和算法设计有较为深刻的理解；
3、熟练掌握自然语言处理领域的基础理论和方法，对NLP有完整、系统的认识；
4、有较强的逻辑思维能力、分析问题和解决问题的能力，积极创新，乐于面对挑战；
5、有Hadoop、Spark等大数据相关技术经验者优先； 
6、有互联网舆情数据挖掘工作经验者优先。

    "
"2726615" "重庆" "移动互联网,数据服务" "翰海睿智" "15-50人" "初创型(未融资)" "本科" "1-3年" "数据挖掘/分析讲师" "10k-15k" "
        职位描述：
        
        任职要求：
1.    有 1-3 年大数据系统的工作经验；
2.    熟练掌握数据分析工具，如 SPSS、Matlab、SAS、Python、R 等， 具备快速模型求解与优化的能力；
3.    善于沟通，良好的表达能力，乐于技术分享；
4.    具有较强分析问题和解决问题能力；
5.    有数据挖掘、数据分析、数据仓库、推荐算法等开发经验者优先；
6.    有大数据培训课程授课经验的优先。
岗位要求：
1.    敬业、责任心强、热爱大数据培训事业；
2.    年龄要求 26 岁以上，计算机及相关专业毕业，本科以上学历；
3.    综合素质好，有良好的沟通、表达能力、语言及文字水平佳；
4.    具有团队协作精神。

        
    "
"2756809" "济南" "移动互联网" "山东全息" "150-500人" "成长型(不需要融资)" "本科" "1-3年" "数据挖掘" "7k-12k" "
        职位描述：
        
        岗位职责：基于R语言或SPSS等工具数据挖掘模型开发

任职要求：一年以上工作经验，熟练使用R语言或SPSS等数据挖掘工具，熟悉数据库操作，有一定数据分析项目经验

        
    "
"2679204" "北京" "移动互联网,O2O" "美团点评" "2000人以上" "成熟型(D轮及以上)" "本科" "1-3年" "数据挖掘/运筹优化技术专家（外卖智能配送）" "20k-40k" "
        职位描述：
        
        我们是美团大众点评下属美团配送技术部的算法策略团队 
我们是这样的一群人：正直诚信，做事靠谱，关系简单，追求卓越 我们以提升配送效率为己任，负责美团配送相关算法策略的分析设计和迭代   岗位：运筹优化算法工程师/技术专家 职责描述： 美团外卖每日超过800万订单，数十万骑手。外卖订单配送涉及的因素多、关系复杂、实时性要求高，存在着大量的复杂运筹优化和数据挖掘问题，等着你一起来探索！本岗位结合美团外卖配送的业务场景和积累的大量业务数据，以 运筹优化+数据挖掘 为主要技术手段，构建智能配送系统。   任职要求： 1年以上工作经验，熟悉运筹优化、数据挖掘领域的主要理论工具和常用的解决方法 具备较强的业务理解和数学建模能力，能快速理解问题、抽象并设计解决方案 对数据敏感，能够从数据中发现问题并追踪原因 具有较强学习能力、自我驱动能力、责任感和团队协作能力 良好开发能力（SQL/Java/Python/R/Scala等），熟悉大数据开发平台（Hadoop/Hive/Spark/Storm)者优先 拥有实际工业场景的运筹优化、数据挖掘项目经验优先   
        
    "
"2796996" "深圳" "广告营销,社交网络" "蚁穴数字营销" "15-50人" "初创型(不需要融资)" "本科" "3-5年" "数据挖掘开发工程师" "9k-18k" "
        职位描述：
        
        岗位职责：
1、海量文本数据的建模与检索等相关研发工作；
2、对数据信息进行深度挖掘和有效利用，充分实现数据的商业价值；
3、用户日志挖掘、用户行为分析和智能推荐算法的设计和开发。
任职资格：
1、本科及以上学历；
2、3年以上数据挖掘项目工作经验；
3、扎实的计算机基础，熟悉C/C++、Java、Python等开发语言，有较强的算法能力；
4、具备深厚机器学习，数据挖掘，信息检索背景；
5、精通常用的数据分析工具，有大规模数据挖掘、自然语言处理、机器学习、hadoop平台经验；
6、善于创新、思维敏捷、精力充沛，沟通能力强，具备较强的团队合作精神并能够承受较大工作压力；
7、熟悉互联网行业并且对于行业内常见的业务形态与商业模式有深入的理解，对业务变化有敏锐的洞察力。
        
    "
"2483709" "上海" "移动互联网,数据服务" "华云数据" "500-2000人" "成熟型(C轮)" "本科" "3-5年" "数据挖掘/算法工程师" "25k-35k" "
        职位描述：
        
        职责描述
1. 参与大数据分析，个性化推荐等系统的设计和开发；
2. 负责数据挖掘及自然语言处理相关模型、算法的设计与开发；
3. 建立业务相关的中英文语料库，作为自然语言处理的基础数据；
4. 负责大规模互联网及UGC文本数据的分析和挖掘工作，包括分类，关键词提取，命名实体识别，聚类，主题分析，情感分析等；
5. 负责海量数据分析，文本挖掘、特征分析和计算等，为产品提供全面、高价值的数据分析和高效的个性化推荐和搜索技术支撑。
职位要求
1、全日制本科及以上学历，计算机相关专业；
2、能熟悉使用python、java、scala、或其他任一编程语言，能快速建立模型并对模型进行验证；
3. 对hadoop,spark mlib,mahout 的算法模型有深入了解
4、有对NLP领域的基础理论和方法了解，具有良好的统计基础；
5. 对搜索引擎、个性化推荐系统、精准广告等机器学习相关技术有经验者优先；
6. 拥有优秀的分析问题和解决问题的能力，能主动发现并解决问题，对解决具有挑战性问题充满激情；
7、对数据敏感，善于发现数据中的潜在规律；有大数据分析和BI系统研发和实施经验者优先；
8、工作有计划性，责任心和执行能力强，具备高度的责任心、诚信的工作作风、优秀沟通能力及团队精神；
9、具有良好的语言表达和文档撰写能力；良好的自学能力，可以快速学习和掌握新的方法和技术。
10. 对kmeans,logistict,svm等都有过应用开发
加分项：
对spark mlib, spark ml有深入分析，有过具体应用
        
    "
"2601047" "北京" "移动互联网,金融" "闪银奇异" "150-500人" "成长型(B轮)" "硕士" "1-3年" "数据挖掘" "15k-30k" "
        职位描述：
        
        岗位内容:1、利用海量数据进行数据分析与建立模型工作 ；2、对大数据进行feature selection, combination等feature engineering工作 ；3、搭建大规模机器学习算法平台 ；4、跟踪互联网领域最新的自然语言处理，及文本挖掘算法的进展和发展趋势 ；5、建立和完善分析体系，跟踪模型的实施，定期优化算法和分析策略，提供建设性建议。任职要求：1、要求1年以上的工作经验，有大数据分析和处理经验；2、统计学、应用数学、计算机等相关专业，本科及以上学历，985院校毕业生优先考虑；3、对常用的机器学习算法、特征选择方法、数据建模过程有深入理解 ；4、熟悉常用数据挖掘算法（如分类、聚类、回归、关联规则、神经网络等）及其原理，并具备相关项目经验；5、熟练掌握R、Python等语言，并熟练使用SQL语句；6、熟悉Hadoop,Storm，Spark等大数据技术以及适应场景, 有大规模数据处理和日志处理经验的优先；7、较强的数据敏感度，逻辑分析能力和文档写作能力；8、勤奋踏实、工作积极主动、有责任心，能够在压力下工作。

        
    "
"2247518" "北京" "企业服务,数据服务" "所问数据" "15-50人" "成长型(A轮)" "硕士" "3-5年" "数据挖掘工程师" "15k-30k" "
        职位描述：
        
        【职责描述】
1. 利用数据挖掘、机器学习相关算法，解决核心业务需求；
2. 对海量数据进行feature selection, combination等feature engineering工作；
3. 模型的验证，改进与优化 ；
4. 将验证的模型进行工程化。

【职位要求】
1、硕士以上学历，扎实的机器学习、数据挖掘、统计学理论基础；有统计、应用数学、金融等相关专业背景优先；
2、精通常见机器学习算法（如逻辑回归、SVM、神经网络、决策树、贝叶斯等），有实际建模经验； 
3、具有扎实的数据结构等编程基础，精通至少一门编程语言例如JAVA/python/R等； 
4、熟悉Map-Reduce模型，对Hadoop、Spark、Storm等大规模数据存储与运算平台有实践经验优先。
5. 熟悉No SQL数据库，有mongodb数据编程经验者优先。
6. 熟悉Linux命令，掌握脚本编写技能者优先。

【薪资】
15K – 30K+丰厚的期权

【福利】
1.         高额期权奖励、特殊贡献奖等多方位的激励措施；
2.         每月一次团建活动，员工每周定期体育活动；
3.         弹性制工作时间、不打卡，让你的工作更加舒心；
4.         充分展示自我才智、发挥潜能的舞台；
5.         公司提供多方位的培训机制，给你更广阔的职业发展空间
        
    "
"2627618" "上海" "金融" "钱牛牛" "150-500人" "成长型(B轮)" "本科" "不限" "数据挖掘实习生" "3k-6k" "
        职位描述：
        
        岗位职责：
1、负责风控基础数据（包括用户访问行为日志、互联网抓取数据、第三方合作数据等）的接入、清洗、去噪和特征提取      
2、负责风控数据的统计分析，发现数据中的相关关系、分布密度、趋势预测和异常检测等，为产品运营提供决策支持      
3、负责风控大数据的数据挖掘，利用统计分析、机器学习和时间序列分析等技术，建立用户画像、授信模型和反欺诈模型 
 
任职资格：
1、数学、计算机相关专业，硕士及硕士以上学历；
2、较好的数学模型能力，扎实的机器学习、数据分析基础，有相关的工程或研究经验
3、精通Python或R，有用python或R做过数据处理、分析和建模的经验       
4、有较强的分析问题和解决问题的能力，善于学习新事物，有不拘一格的灵活思路 
5、每周至少四天，连续半年以上 ，毕业后可以转成正式员工

        
    "
"2705396" "北京" "移动互联网" "新浪门户" "2000人以上" "上市公司" "本科" "1-3年" "数据挖掘工程师" "18k-32k" "
        职位描述：
        
        工作职责:
负责邮箱数据挖掘系统持续研发与维护，根据业务需求进行相关数据分析和挖掘工作。包括用户关系挖掘，邮件清洗，索引与检索，数据评价系统研发，监控与维护。
 
工作要求：
1 熟悉常见的数据结构和算法
2 熟悉Spring / Guice等IOC框架
3 熟悉Elastic Search / Lucene 等全文检索方案
4 熟悉Shell ,Python等脚本语言
5 英文熟练，可以无障碍阅读英文文档

        
    "
"2738458" "北京" "移动互联网,O2O" "易到" "500-2000人" "成熟型(C轮)" "本科" "3-5年" "高级数据挖掘工程师" "25k-40k" "
        职位描述：
        
        
1.从海量数据中，利用数据挖掘技术，挖出用户的偏好特征、行为规律，用户画像等；
2.构建健壮的挖掘系统，提供高可用、可扩展的离线挖掘系统
3.构建出行智能派单系统，订单如何精准的推送到指定人的手里；
4.根据供需情况，人工智能动态蜂窝调价;
 
任职要求：
1.本科及以上学历，计算机科学、统计学、应用数学等专业，985院校；
2.著名互联公司经验优先，有推荐/用户画像经验优先；
2.熟悉Hadoop周边生态项目，具备数据编程能力，具有Spark、MapReduce、Hive等相关实践经验 3.熟悉常用数据挖掘算法（如分类、聚类、回归、关联规则、神经网络等）及其原理，并具备相关项目经验
3.熟悉R、Python等统计分析软件者优先

        
    "
"2225995" "深圳" "移动互联网" "和而泰" "2000人以上" "上市公司" "硕士" "3-5年" "机器学习/数据挖掘/人工智能" "20k-40k" "
        职位描述：
        
        岗位职责：
1.与产品经理沟通，了解业务逻辑，抽象关键的因素和特征，对问题进行建模;
2. 设计开发机器学习组件，解决实际问题.
任职要求：
1.本科以上学习，硕士、博士学历优先，计算机相关专业优先；
2.至少2年以上相关工作经验；
3.精通Python，熟练掌握Matlab/C++/Java其中一种语言 ;
4.有tensorflow/torch/scikit-learn/spark-mllib其中一种技术使用经验者优先;
5.对使用机器学习技术解决现实问题有极大的兴趣，愿意成为这个领域的佼佼者; 
6.良好的团队合作意识、沟通能力 ;
7.有智能家居、物联网从业经验者优先.

        
    "
"2738376" "北京" "移动互联网,广告营销" "云袭网络" "50-150人" "成长型(不需要融资)" "本科" "3-5年" "效果广告数据挖掘研发工程师" "30k-50k" "
        职位描述：
        
        
职位描述：

负责效果广告用户行为分析，如用户画像建设、用户兴趣/意图挖掘、相似用户挖掘等； 
负责效果广告文本语义分析，如关键词抽取、文本分类、主题建模LDA等； 
负责广告受众定向（如行为定向、再营销等）策略研究； 
负责效果广告大规模用户数据挖掘开发与研究； 
负责效果广告检索、排序算法研究； 
负责效果广告转化率预估、转化价值的研究，以及生态闭环建设； 
负责效果广告大数据挖掘及并行机器学习算法研究。 
工作要求： 
本科及以上学历，自然语言处理、机器学习、数据挖掘或相关专业； 
2-5年相关工作经验； 
基础扎实，编码过关，熟悉常用的算法和数据结构； 
熟悉Linux 操作系统开发环境，精通C++，熟悉Python、Java 更好； 
有推荐系统、广告系统相关从业经验者优先； 
具有海量数据处理和并行计算开发经验者优先。

补充说明：

